Epoch: 0 | Train Loss: 0.0627587890387 | Test Loss: 0.0523157801032 | Train Acc: 25.824 | Test Acc: 39.08
Epoch: 1 | Train Loss: 0.0485416095471 | Test Loss: 0.0455131292224 | Train Acc: 43.262 | Test Acc: 46.91
Epoch: 2 | Train Loss: 0.0430805772996 | Test Loss: 0.0406016886055 | Train Acc: 50.012 | Test Acc: 52.59
Epoch: 3 | Train Loss: 0.0393354892993 | Test Loss: 0.0392445603013 | Train Acc: 54.98 | Test Acc: 54.18
Epoch: 4 | Train Loss: 0.0361262522423 | Test Loss: 0.0368118732333 | Train Acc: 59.112 | Test Acc: 57.85
Epoch: 5 | Train Loss: 0.0335133967471 | Test Loss: 0.0355129455209 | Train Acc: 61.944 | Test Acc: 60.12
Epoch: 6 | Train Loss: 0.0312103487587 | Test Loss: 0.0329350034595 | Train Acc: 64.816 | Test Acc: 62.76
Epoch: 7 | Train Loss: 0.0289116168958 | Test Loss: 0.0322898682296 | Train Acc: 67.588 | Test Acc: 63.79
Epoch: 8 | Train Loss: 0.02691933523 | Test Loss: 0.0320129484773 | Train Acc: 69.654 | Test Acc: 64.08
Epoch: 9 | Train Loss: 0.0250797557491 | Test Loss: 0.0310883124948 | Train Acc: 71.896 | Test Acc: 65.83
Epoch: 10 | Train Loss: 0.0233163948047 | Test Loss: 0.0308272924066 | Train Acc: 73.802 | Test Acc: 65.66
Epoch: 11 | Train Loss: 0.021622871148 | Test Loss: 0.0311397621214 | Train Acc: 75.676 | Test Acc: 66.11
Epoch: 12 | Train Loss: 0.0200671261573 | Test Loss: 0.0318060195565 | Train Acc: 77.414 | Test Acc: 65.94
Epoch: 13 | Train Loss: 0.0184412929741 | Test Loss: 0.0327444159865 | Train Acc: 78.934 | Test Acc: 66.15
Epoch: 14 | Train Loss: 0.0169282549113 | Test Loss: 0.0331381509066 | Train Acc: 80.872 | Test Acc: 65.83
Epoch: 15 | Train Loss: 0.0154865993518 | Test Loss: 0.0333234668225 | Train Acc: 82.39 | Test Acc: 66.77
Epoch: 16 | Train Loss: 0.0142934390932 | Test Loss: 0.0344589225054 | Train Acc: 83.704 | Test Acc: 66.03
Epoch: 17 | Train Loss: 0.0130926563205 | Test Loss: 0.035978230986 | Train Acc: 85.22 | Test Acc: 65.64
Epoch: 18 | Train Loss: 0.012006994624 | Test Loss: 0.0373757398993 | Train Acc: 86.182 | Test Acc: 65.58
Epoch: 19 | Train Loss: 0.0108666783489 | Test Loss: 0.0392945668936 | Train Acc: 87.516 | Test Acc: 65.22
Epoch: 20 | Train Loss: 0.00994179069668 | Test Loss: 0.0406070161492 | Train Acc: 88.564 | Test Acc: 65.93
Epoch: 21 | Train Loss: 0.00914601221196 | Test Loss: 0.0417530547738 | Train Acc: 89.706 | Test Acc: 65.48
Epoch: 22 | Train Loss: 0.008402837971 | Test Loss: 0.0416584219426 | Train Acc: 90.444 | Test Acc: 65.43
Epoch: 23 | Train Loss: 0.00770054269638 | Test Loss: 0.0438240142226 | Train Acc: 91.32 | Test Acc: 65.36
Epoch: 24 | Train Loss: 0.0071060074719 | Test Loss: 0.0438744082093 | Train Acc: 91.896 | Test Acc: 65.86
Epoch: 25 | Train Loss: 0.00667459993493 | Test Loss: 0.0455424219489 | Train Acc: 92.266 | Test Acc: 65.27
Epoch: 26 | Train Loss: 0.00603064488662 | Test Loss: 0.0459367933691 | Train Acc: 93.168 | Test Acc: 66.07
Epoch: 27 | Train Loss: 0.00563931111481 | Test Loss: 0.0465841898441 | Train Acc: 93.696 | Test Acc: 65.71
Epoch: 28 | Train Loss: 0.00528472219514 | Test Loss: 0.048703124842 | Train Acc: 94.006 | Test Acc: 65.33
Epoch: 29 | Train Loss: 0.00502311784343 | Test Loss: 0.0477900736123 | Train Acc: 94.406 | Test Acc: 66.45
Epoch: 30 | Train Loss: 0.00470612687096 | Test Loss: 0.0494278352618 | Train Acc: 94.788 | Test Acc: 66.19
Epoch: 31 | Train Loss: 0.00464862609254 | Test Loss: 0.0498626392871 | Train Acc: 94.882 | Test Acc: 65.75
Epoch: 32 | Train Loss: 0.00421880811367 | Test Loss: 0.0512033712864 | Train Acc: 95.274 | Test Acc: 66.03
Epoch: 33 | Train Loss: 0.00387278108266 | Test Loss: 0.0506555968165 | Train Acc: 95.776 | Test Acc: 65.26
Epoch: 34 | Train Loss: 0.00390104547804 | Test Loss: 0.0538986052096 | Train Acc: 95.602 | Test Acc: 65.18
Epoch: 35 | Train Loss: 0.0035089677895 | Test Loss: 0.0539537055582 | Train Acc: 95.976 | Test Acc: 65.29
Epoch: 36 | Train Loss: 0.00346301594329 | Test Loss: 0.0557643045992 | Train Acc: 96.148 | Test Acc: 65.65
Epoch: 37 | Train Loss: 0.00338608907641 | Test Loss: 0.0534401363671 | Train Acc: 96.222 | Test Acc: 65.99
Epoch: 38 | Train Loss: 0.00318765062949 | Test Loss: 0.0529795479357 | Train Acc: 96.532 | Test Acc: 65.52
